1616 1 15 0 0.333 2.0 -1 345979620000 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 302767311413 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 112335182391 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 602856755767 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 306230518463 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 746107068351 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 0.0 0.25 0 -1
1616 1 22 0 0.333 0.25 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.5 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 0.75 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 1.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 3.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.667 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 1.0 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 1 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 1 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 1 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.5 0 -1
1616 1 22 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.75 0 -1
1616 1 8 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
1616 1 15 0 0.333 2.0 -1 786600760396 3 3 3 3 3 0 0 settings_16_nodes_paper_experiments2 0.333 1.3 10.0 0.25 0 -1
